Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2020,BMW,BMX,BMW,M850i xDrive Convertible,BJ35436,1,4.4,KBMXJ04.4N63,Both,523,8.0,4.4-N63-G14X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5000,2.81,23.5,1,Not eqipped,KBMX10054613,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00062,0.0753,245.9356,0.0035,,0.00017,,36.0,MPG,,,,,3.19,2.55,-0.218,67.7,-0.568,0.02786,0.7,0.013,0.01979,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,M850i xDrive Coupe,BJ35436,0,4.4,KBMXJ04.4N63,Both,523,8.0,4.4-N63-G15X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,2.81,23.5,1,Not eqipped,KBMX10053865,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.01849,0.42839,388.11,0.01984,,0.00244,0.00096,22.8,MPG,21.5,22.0,25.6,,-3.458,-2.106,-2.681,66.5,-0.571,0.02803,-5.8,0.137,0.01855,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,M850i xDrive Coupe,BJ35436,0,4.4,KBMXJ04.4N63,Both,523,8.0,4.4-N63-G15X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4750,2.81,23.5,1,Not eqipped,KBMX10054611,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00063,0.08217,240.91,0.00366,,0.0,,36.7,MPG,,,,,-4.457,-3.375,-1.283,66.5,-0.571,0.02803,-5.8,0.137,0.01855,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,M850i xDrive Gran Coupe,BP48581,0,4.4,LBMXJ04.4N63,Both,523,8.0,N63B44T3G16X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5000,2.81,23.5,1,Not eqipped,LBMX10058727,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0009326,0.1414455,263.5801227,0.0037575,,1.29e-05,,33.4,MPG,,,,,3.754901,2.955394,0.1543996,73.1,-0.56,0.02884,1.6,-0.139,0.0231,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,M850i xDrive Gran Coupe,BP48581,0,4.4,LBMXJ04.4N63,Both,523,8.0,N63B44T3G16X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5000,2.81,23.5,1,Not eqipped,LBMX10059281,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0165155,0.4084218,422.4287097,0.0203792,,0.0029803,0.0006403,20.9,MPG,19.7594155,20.1432702,23.6421342,,2.081766,1.397097,0.1043607,73.1,-0.56,0.02884,1.6,-0.139,0.0231,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,MINI COOPER SE HARDTOP 2 DOOR,TR19521,0,0.001,LBMXV00.0F5B,Car,181,,IB1P23M0F56S,A,Automatic,1,N,F,"2-Wheel Drive, Front",1,No gear ratio < 1,3500,8.96,127.2,1,Not eqipped,LBMX10060847,MFR,No,,,,,81,Charge Depleting UDDS,62,Electricity,CD,,,,,,,,164.1,MPG,,,,,,,,27.8,0.382,0.01474,9.3,0.157,0.01665,,,N,,,N,No averaging
2020,BMW,BMX,BMW,MINI COOPER SE HARDTOP 2 DOOR,TR19521,0,0.001,LBMXV00.0F5B,Car,181,,IB1P23M0F56S,A,Automatic,1,N,F,"2-Wheel Drive, Front",1,No gear ratio < 1,3500,8.96,127.2,1,Not eqipped,LBMX10060863,MFR,No,,,,,84,Charge Depleting Highway,62,Electricity,CD,,,,,,,,143.1,MPG,,,,,,,,27.8,0.382,0.01474,9.3,0.157,0.01665,,,N,,,N,No averaging
2020,BMW,BMX,BMW,Supra 3.0,W000026,0,3.0,LBMXJ03.0B07,Both,335,6.0,B58B30M1J29S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3750,3.15,26.2,1,Not eqipped,LBMX10056868,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00047,0.01061,201.0424,0.00246,,0.0,,43.9,MPG,,,,,-0.417,-0.519,-0.72,54.9,-0.299,0.02304,15.1,-0.31,0.001598,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,Supra 3.0,W000026,0,3.0,LBMXJ03.0B07,Both,335,6.0,B58B30M1J29S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3750,3.15,26.2,1,Not eqipped,LBMX10056924,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.01478,0.14782,288.6363,0.02312,,0.00235,0.00071,30.5,MPG,28.2693,30.4353,33.3032,,-6.936,-4.641,-2.434,54.9,-0.299,0.02304,15.1,-0.31,0.001598,TWC,Three-way catalyst,N,,,N,No averaging
2020,BMW,BMX,BMW,X1 sDrive28i,EL88964,2,2.0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F48S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.2,27.7,1,Not eqipped,LBMX91004389,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0001405,0.0065845,187.9065409,0.0064403,,0.0004924,,47.4,MPG,,,,,1.617165,0.945956,-0.781721,42.9,-0.086,0.02226,9.4,0.171,0.02019,TWC,Three-way catalyst,N,,,N,No averaging
